Date,Persons,Average Sentiment,Text
"Friday, April 1, 1977","[Aly Kaiser, Joe Eula]",0.05592592592592592,"Went to Halston's birthday dinner for Victor at Pearl's he did not want to do a big thing at the house. Joe Eula was there. And Aly Kaiser. She has two bodyguards now because of her Greek husband that she is divorcing-she has one bodyguard driving her and one at home. She had as a present for Victor a bag of Hawaiian marijuana that a couple of fag friends who have a ranch there mailed to her in a box of perfumed shirts so you would not smell the marijuana. She said she gave some to one of her bodyguards and he was passed out at home. She says she will let me take pictures of her as soon as she gets her divorce. Before it was ""as soon as I get the plastic in my face from Dr. Orentreich."" I talked to Dr. Giller he seems so sensible. He said that only fish and chicken and fresh vegetables were good for you even though he himself liked Chinese food. He told Mrs. Kaiser where she could get fresh chickens kosher on the Lower East Side and she said she would send one of her bodyguards down for some she is been sending him out to do her shopping. She was wearing twenty carats on each ear and a diamond bracelet too. she is really nice. She had a car out front too with her dog who wears the chauffeur's cap."
"Friday, April 1, 1983","[Joe MacDonald, Miguel Bose, Muhammad Ali, Ronnie Levin]",0.31666666666666665,I had to meet Miguel Bose (cab $6). He came to be photographed and to work on the video thing. His mother's a famous actress in Spain and his father's a bullfighter. He told me that his good friend was Joe MacDonald so I guess maybe he was trying to tell me something. But when I told him that Joe had AIDS I think I really told him something because he looked nervous and scared. I see that Veronica and Muhammad Ali have split up and I bet it is because of the big spending habits she learned from her best friend Ronnie Levin because she went shopping all the time with him in Beverly Hills for antiques and Muhammad would get all the bills.
"Friday, April 11, 1980","[Ellsworth Kelly, Henry Geldzahler, Jackie Curtis, Mayor Koch, Ron Feldman]",-0.0076699770817417945,"Henry Geldzahler came by to talk about me doing a poster for New York City and Fred thought it was a good idea. Then Henry wanted to go right out and photograph a tree for the poster. He needs it in two weeks. But I am just beginning to think Henry may be crazy. He said Ellsworth Kelly wanted to paint on top of my portrait of him and I said sure but then he admitted that he wanted me to print another one so he was just trying to get a free painting out of me for Ellsworth Kelly to paint on. He still wears his badge that Mayor Koch gave him under his lapel. Rupert came in and we were numbering portfolios. The Ten Jewish Geniuses portfolio really sold so now Ron Feldman wants to do Ten Rock Stars but that is corny is not it? Or Ten Phantoms like Santa Claus. But I think the Jewish Geniuses only sold because they were Jewish so we should do Ten Jewish something else. Like Ten Jewish Rock Stars. I called Harcourt Brace and screamed at them for not delivering the eighty books that I paid for. Jackie Curtis came up to get one and heard me screaming on the phone at them and got the message and backed right out. And I screamed at a few people and finally the girl said ""Well you paid with a personal check and we had to wait to see if it cleared."" Can you believe it! I think Jovanovich must be so petty himself because he runs the worst company they are small-time they have got a name Harcourt Brace but that is all. So that screaming took all afternoon."
"Friday, April 13, 1979","[Lucie Arnaz, Margaret Trudeau, Robin Williams]",0.06944444444444445,I was reading the Margaret Trudeau book. She writes like Viva. If Viva had met interesting people in her life she would have written a book like this. Went to the Copa for the Mork show. Robin Williams. He was terrific. Jed's sister Susan was our waitress (tip $10). Then Mork's wife invited us to the Sherry so we went over there and Lucie Arnaz was there too and everybody was sitting around a big table of bagels. Mork has a hairy chest and arms but pretty blue eyes.
"Friday, April 13, 1984",[],-0.02391975308641975,We photographed the street people in front of the Public Library and it was fun. One man with chains and I gave him change ($2) and then people were interviewing me. And I am going to do that more. I did not get photo releases but I think I will start carrying some with me every day. Worked till 7:00. Then had to meet Jon dinner at Woods ($80). Then ran up to see Friday the 13th on 86th Street (cab $3) and it was the most peculiar mix of a crowd-rich preppie kids and black kids and the whole theater was a constant screaming riot everybody jumping up and down. It was the weirdest experience ever. And the murders were so gruesome. I want to do a movie called Stalk the City where there is a murder a minute. This movie opened in 1500 theaters. it is (laughs) a Paramount picture.
"Friday, April 14, 1978","[Averil Meyer, Elsa Peretti, Howard Cosell, Margaret Trudeau, Mickey Mantle, Reggie Jackson, Richard Weisman, Suzy Chapstick, Tom Sullivan, Yogi Berra]",0.01439102564102564,"Went with Richard Weisman to the Hotel Americana for a banquet for the Yankees. The master of ceremonies was Howard Cosell and they marched the whole team in. Everyone was trying to get Reggie Jackson's autograph. And it was funny because Averil Meyer's grandmother Mrs. Payson owns the Mets and Averil kept saying ""I own the Mets"" and everybody thought she was crazy. She wrote Yogi Berra a note and passed it on toward him but someone did not pass it along and so she got up and went and took it back. He used to be with the Mets. The note said something like: ""Remember when you bounced me on your knee then gave me a hot dog in the dugout?"" And Mickey Mantle got his award-that is what it was for. And Howard Cosell was introducing people from the dais and he introduced me he called me a Pop artist-I guess Richard is pushing to get the paintings sold. I talked to Suzy Chapstick and she said that she is noticed that most girls who get famous are tomboys when they are little and I said that I would been a tomboy. And then at the office there was the big problem with Halston. He called Fred to say that Victor's been going around saying that if Halston did not pay us the money he owes for the paintings he bought from us that he Victor would repossess them and sell them to Elsa Peretti. Halston asked Fred if we would put Victor up to it. Fred said no. And Halston's fired everyone at the house -Lorenzo and the maid too. All since last weekend. And he is having trouble with his line he can not work he is been so upset. The other night in the basement at 54 there was a huge fight that Elsa started-she was attacking Stevie and calling everybody faggots and it was really bad I guess. I was not there. Bob finally got her to leave with him. it is enough to make you want to stay home for the rest of your life. She was smashing glasses and everything. So between Victor and Elsa Halston's really a wreck. The other big event at the office in the afternoon was when Ronnie opened the door to the bathroom in the conference room-that lock does not really work-and there was Margaret Trudeau sitting on the toilet with her pants down and a coke spoon up her nose. He said ""Excuse me"" and backed out. she would come down with Tom Sullivan."
"Friday, April 15, 1977","[Carole Rogers, Diana Vreeland, Tony Ingrassia]",0.084508547008547,"We had our first nut at 860 yesterday-Diane Coffman came up. we have had nuts before but not one that we knew. She was in our play Pork in '70 or '71. The director Tony Ingrassia must have discovered her. She kept saying ""You know how to spell Coffman? C-O-F-F-M-A-N."" Had to give her money ($10). Lunch was for Diana Vreeland and an Argentinian woman and Bob had invited Michael and Pat York. Carole Rogers and Sally from Interview had invited a hi-fi girl to try to sell her ads. The girl was impressed with Diana and the Yorks she thought she was just going to have lunch with Carole and Sally. Diana was saying that she would discovered the museum had turned the lights up and the music down on her Russian costume show-they said it was because some people had complained they could not see anything and the music was too loud. Diana said that you do not go change something because somebody asks you to that that is the trouble with this country they want to ""give the public what it wants."" ""Well"" she said ""the public wants what it can not get and it is up to museums to teach them what to want."" And she said that is the trouble with Vogue magazine and all the other magazines today-except for Interview she said."
"Friday, April 15, 1983",[],0.3375,-St. Martin The most beautiful day in the world. Photographed all day.
"Friday, April 17, 1981","[Chris Makos, Dominique Sanda]",0.012500000000000004,I was depressed I decided to pass out Interviews. After I did that I went to the office and I ran into the Moynihan girl Maura who was arriving two days late for lunch (cab $5). And now that the Soho News had Dominique Sanda on its cover this week it would be too tacky to have her as our cover girl so maybe we will use this Moynihan girl as our cover because she is cute and smart-she went to Harvard-and she has a rock band. Chris Makos called me from Palm Beach where it was so sunny and he was with his boyfriend Peter and that depressed me they would just gotten there. Worked till 6:30. Rupert invited me to an all-boy party on Bleecker Street but I was too depressed. Ate at the Brasserie ($40). Went home lonely and despondent because nobody loves me and it is Easter and I cried.
"Friday, April 19, 1985",[],0.05625841750841751,"It was an all-day crystal day. The big cheese Dr. Reese was in town and my appointment was for 12:0 at Bernsohn's-he was taking me to lunch with Reese and they were going to do my cranium. I asked Reese how he started in crystals and he said that when he was little ""Mr. Morning"" came to see him. When he was a baby. He saw ""Mr. Morning"" but nobody else did. And then in the army he got interested in electricity and the body and all this stuff. Reese was talking about his trip where he went around sticking crystals all over the pyramids and the Wailing Wall. And he eats things like coffee and doughnuts. But he cures the coffee by passing the crystal over it ten times. And he says he knows somebody in South Africa who went to the Wailing Wall who now wants to get his money out of South Africa and do movies. Reese is Episcopalian so I feel better with him than with the Jewish crystal people somehow because knowing he believes in Christ I do not have to worry that crystals might be somehow against Christ. And his assistant -this girl-kept asking him ""Should we tell him? Should we tell him what we want him to do?"" And finally Reese said ""Yes."" So the girl said ""Your forces are with us. you have got to come to Tibet with us. You have the ability to do great things."" And then they do talk about needing people to support their studies. So do you think they are going to ask me for money? That that is it? Bernsohn is so materialistic-the new laser-beam record players and the new apartment. Then they tell me I was Chinese in my other life and that I have to go to Tibet with them.... Look I know the people are ridiculous but it is the crystals I believe in. They do work. When you think that these crystals were in the center of the earth and have all this energy... Oh and I got a letter from my niece Eva in Denver that said ""God Bless You and by the way I stole your drawings ten years ago do you want them back?"" In like 1970 when she was living here and taking care of my mother. She told me she rolled up some of my Flower prints and took them and they have been in her basement. But her letter is so full of God Bless Yous and Our Blessed Home and Our Blessed everythings that she sounds like one of the Moral Majority. And my nephew Paul is still in Denver-the ex-priest who is married to the ex-nun and they have two children."
